Rouge,Vert,Bleu,Couleur_Texte,Lisible
205,80,42,noir,0
60,64,68,blanc,1
207,89,168,noir,1
62,179,41,noir,1
143,167,162,noir,1
140,209,180,blanc,0
142,96,22,blanc,1
71,59,99,noir,0
170,158,139,blanc,0
102,14,9,blanc,1
102,228,96,blanc,0
125,71,209,noir,0
178,16,2,blanc,1
10,129,141,blanc,1
251,139,136,noir,1
53,193,31,noir,1
139,53,213,blanc,1
143,92,48,blanc,1
78,205,195,noir,1
125,2,238,noir,0
205,234,65,blanc,0
185,25,36,blanc,1
254,169,32,noir,1
153,216,222,noir,1
90,56,25,noir,0
81,231,95,noir,1
45,229,2,blanc,0
120,216,103,blanc,0
193,63,183,blanc,1
198,133,204,noir,1
192,83,143,blanc,1
144,208,47,noir,1
144,99,32,noir,0
242,149,187,blanc,0
208,232,44,blanc,0
72,145,7,noir,1
81,127,13,blanc,1
23,91,223,blanc,1
160,234,214,noir,1
123,197,123,noir,1
204,202,237,noir,1
251,208,208,blanc,0
75,212,12,blanc,0
236,101,193,noir,1
22,193,15,noir,1
71,0,37,noir,0
117,76,227,noir,0
61,20,69,blanc,1
140,76,88,noir,0
141,16,27,blanc,1
142,181,244,blanc,0
132,57,60,noir,0
214,240,128,blanc,0
71,121,110,noir,0
172,88,200,blanc,1
53,85,235,blanc,1
80,237,197,noir,1
175,164,251,noir,1
247,18,107,blanc,0
6,178,169,blanc,0
127,151,43,noir,1
133,185,5,blanc,0
150,198,133,noir,1
17,209,66,blanc,0
184,170,90,noir,1
35,243,111,blanc,0
53,114,60,noir,0
66,70,116,noir,0
143,112,172,noir,0
161,132,66,noir,1
93,237,19,blanc,0
218,248,31,blanc,0
207,167,1,noir,1
101,170,7,noir,1
42,70,14,blanc,1
230,36,214,noir,1
27,157,24,noir,1
83,56,64,noir,0
160,142,192,blanc,0
115,170,185,noir,1
196,236,173,noir,1
209,242,149,blanc,0
13,6,79,noir,0
62,175,93,noir,1
97,141,85,blanc,0
121,84,12,blanc,1
202,88,254,noir,1
47,179,39,blanc,0
34,243,237,noir,1
173,173,250,blanc,0
154,143,88,noir,1
167,60,234,noir,0
170,202,175,noir,1
83,32,29,noir,0
130,181,196,blanc,0
85,232,157,noir,1
77,161,95,blanc,0
228,128,56,blanc,0
62,35,239,noir,0
222,200,37,blanc,0
236,137,138,blanc,0
201,61,50,blanc,1
61,28,162,noir,0
199,36,54,blanc,1
34,21,36,blanc,1
184,62,112,blanc,1
255,75,107,blanc,0
168,169,68,blanc,0
250,40,169,noir,1
120,111,241,noir,0
126,24,183,noir,0
7,236,204,blanc,0
163,139,227,blanc,0
145,120,37,blanc,1
33,65,3,noir,0
43,107,17,noir,0
185,255,78,noir,1
218,249,212,blanc,0
118,91,35,blanc,1
52,125,224,blanc,1
74,124,198,noir,0
94,9,55,blanc,1
166,161,210,blanc,0
164,193,72,blanc,0
29,37,146,noir,0
216,92,68,blanc,1
9,191,208,noir,1
243,167,8,noir,1
118,92,129,noir,0
215,249,92,blanc,0
244,184,81,noir,1
222,72,219,blanc,0
103,94,206,noir,0
233,34,181,blanc,0
45,15,164,blanc,1
179,186,218,blanc,0
42,61,177,blanc,1
22,93,47,blanc,1
136,176,88,noir,1
238,30,131,blanc,0
134,186,3,blanc,0
12,244,167,blanc,0
121,238,171,blanc,0
149,205,223,noir,1
94,61,138,blanc,1
90,33,116,noir,0
14,122,101,noir,0
160,208,178,blanc,0
77,188,135,blanc,0
143,170,30,blanc,0
89,182,150,noir,1
167,172,199,noir,1
24,250,194,blanc,0
83,65,92,blanc,1
195,140,205,blanc,0
211,196,154,noir,1
111,7,138,noir,0
216,6,30,noir,0
117,101,166,noir,0
171,40,51,noir,0
54,182,110,blanc,0
232,240,78,blanc,0
80,12,46,blanc,1
118,169,96,noir,1
101,132,255,blanc,0
221,243,190,noir,1
87,35,54,blanc,1
170,2,156,noir,0
103,203,253,blanc,0
71,238,36,blanc,0
174,44,93,noir,0
231,213,39,noir,1
28,190,157,blanc,0
48,210,154,noir,1
159,84,173,noir,0
10,23,18,noir,0
47,142,145,blanc,0
218,112,172,blanc,0
108,129,125,noir,0
242,62,178,blanc,0
81,4,207,blanc,1
129,178,123,blanc,0
104,71,206,noir,0
30,109,243,noir,0
31,172,35,noir,1
47,105,145,noir,0
206,158,128,noir,1
76,21,48,noir,0
99,153,61,noir,1
12,254,107,noir,1
99,27,103,noir,0
26,191,76,blanc,0
44,237,117,blanc,0
203,22,240,blanc,0
197,5,248,blanc,0
155,221,227,noir,1
132,154,189,noir,1
21,144,92,noir,1
19,128,5,noir,0
151,102,169,noir,0
7,0,157,blanc,1
224,225,2,noir,1
104,36,7,noir,0
195,250,204,noir,1
237,173,120,noir,1
113,99,163,blanc,1
161,221,46,blanc,0
96,233,91,blanc,0
190,27,249,noir,1
196,94,174,blanc,1
176,205,248,noir,1
93,55,254,blanc,1
79,88,222,noir,0
110,180,113,noir,1
79,29,209,blanc,1
85,45,178,noir,0
79,72,38,blanc,1
56,107,246,blanc,1
82,9,31,noir,0
184,2,216,blanc,1
85,94,88,blanc,1
231,155,247,blanc,0
198,211,46,blanc,0
173,149,44,blanc,0
254,94,145,blanc,0
48,214,98,noir,1
155,127,4,blanc,1
244,85,203,blanc,0
121,175,88,noir,1
23,89,7,blanc,1
164,165,167,noir,1
209,44,176,noir,0
41,74,73,noir,0
222,244,182,blanc,0
216,187,158,blanc,0
1,0,217,blanc,1
60,142,76,noir,1
113,237,123,blanc,0
103,232,139,noir,1
240,103,212,blanc,0
49,207,107,noir,1
215,207,220,blanc,0
147,230,210,noir,1
158,198,147,noir,1
229,204,24,noir,1
166,195,227,noir,1
109,33,135,blanc,1
177,130,254,noir,1
222,36,163,blanc,0
197,21,190,blanc,1
89,191,148,blanc,0
254,187,104,noir,1
57,126,166,blanc,1
154,201,172,blanc,0
144,24,150,blanc,1
223,167,151,blanc,0
97,225,10,blanc,0
26,163,31,blanc,0
95,78,239,noir,0
98,171,182,noir,1
198,83,3,noir,0
246,155,112,blanc,0
2,213,193,blanc,0
191,18,209,noir,0
166,2,132,blanc,1
253,140,240,blanc,0
227,242,126,blanc,0
185,232,109,blanc,0
219,19,162,noir,1
90,80,87,noir,0
29,8,154,blanc,1
113,161,173,blanc,0
72,90,145,noir,0
123,205,26,noir,1
126,121,133,noir,0
42,147,140,noir,1
144,181,103,blanc,0
179,234,45,blanc,0
6,251,88,noir,1
156,233,93,noir,1
211,198,65,noir,1
234,194,241,blanc,0
250,175,2,blanc,0
123,234,178,blanc,0
41,29,150,blanc,1
94,30,138,noir,0
50,35,208,blanc,1
37,251,23,noir,1
136,176,232,blanc,0
153,89,90,blanc,1
65,67,19,noir,0
152,243,122,noir,1
73,215,40,noir,1
128,164,39,blanc,0
150,86,250,blanc,1
67,12,145,noir,0
247,170,168,noir,1
221,54,84,blanc,1
14,1,120,blanc,1
202,59,49,noir,0
252,228,97,noir,1
210,61,212,blanc,0
12,153,81,blanc,0
116,50,91,noir,0
223,29,244,blanc,0
85,205,250,blanc,0
89,45,172,noir,0
218,153,206,blanc,0
186,85,230,noir,1
23,28,71,blanc,1
85,47,122,blanc,1
219,1,226,noir,1
246,120,127,noir,1
20,129,119,noir,0
106,234,191,blanc,0
81,56,206,noir,0
248,232,197,noir,1
176,102,161,blanc,1
145,238,139,blanc,0
237,63,139,noir,1
111,78,92,blanc,1
214,188,212,noir,1
255,107,13,noir,1
1,219,232,blanc,0
248,129,172,blanc,0
163,185,97,blanc,0
0,1,201,blanc,1
158,246,56,blanc,0
249,140,188,noir,1
182,147,233,blanc,0
116,102,85,noir,0
153,32,184,blanc,1
191,129,211,noir,1
55,53,244,blanc,1
74,44,30,blanc,1
217,176,210,blanc,0
94,204,154,blanc,0
118,4,45,blanc,1
143,222,87,blanc,0
152,50,157,noir,0
52,99,46,noir,0
205,232,128,blanc,0
245,111,160,noir,1
63,17,51,noir,0
187,78,182,noir,0
34,152,168,blanc,0
196,43,22,blanc,1
120,31,55,noir,0
110,72,75,blanc,1
117,136,181,noir,1
149,230,220,noir,1
167,42,77,blanc,1
205,166,105,noir,1
88,63,215,blanc,1
9,255,199,blanc,0
179,205,23,blanc,0
113,41,71,noir,0
118,194,125,blanc,0
142,17,74,blanc,1
230,137,124,noir,1
228,31,250,noir,1
34,214,200,blanc,0
223,221,106,blanc,0
24,148,97,noir,1
210,81,140,noir,0
209,57,251,blanc,0
241,48,227,noir,1
172,113,22,blanc,1
148,212,100,noir,1
209,165,228,noir,1
80,167,201,blanc,0
93,93,250,blanc,1
29,68,144,blanc,1
19,71,118,blanc,1
194,185,113,noir,1
161,84,2,noir,0
81,45,37,noir,0
226,140,104,blanc,0
93,217,123,blanc,0
77,137,27,blanc,0
99,208,151,noir,1
227,45,158,noir,1
82,194,224,noir,1
69,136,136,noir,1
12,88,112,blanc,1
181,135,180,blanc,0
152,28,65,blanc,1
124,18,177,noir,0
215,77,157,blanc,0
189,241,172,noir,1
167,117,87,noir,0
28,0,119,noir,0
73,14,16,noir,0
81,49,89,blanc,1
85,220,95,blanc,0
135,140,58,noir,1
1,196,31,noir,1
217,168,33,blanc,0
5,81,146,blanc,1
58,90,40,noir,0
82,59,48,blanc,1
205,10,230,blanc,0
67,128,82,noir,0
230,195,136,noir,1
145,189,112,noir,1
6,166,162,noir,1
176,255,98,blanc,0
200,99,211,blanc,0
184,215,136,noir,1
182,153,64,noir,1
156,69,240,noir,0
218,184,150,noir,1
90,52,7,blanc,1
0,28,71,blanc,1
55,167,59,blanc,0
224,147,226,noir,1
110,180,127,noir,1
213,87,111,noir,0
99,122,146,blanc,1
83,180,39,noir,1
145,6,222,noir,0
208,225,203,blanc,0
79,154,191,noir,1
190,122,57,noir,0
244,125,102,blanc,0
146,110,148,noir,0
247,40,57,blanc,0
72,10,185,blanc,1
57,78,102,blanc,1
181,234,167,noir,1
10,68,40,noir,0
144,2,156,blanc,1
21,246,66,noir,1
143,34,147,blanc,1
143,205,238,noir,1
19,19,243,blanc,1
133,193,80,blanc,0
37,143,172,blanc,0
82,74,165,blanc,1
247,102,159,blanc,0
245,87,96,blanc,0
68,220,4,blanc,0
48,98,125,noir,0
64,170,147,noir,1
186,0,235,blanc,1
226,212,222,noir,1
135,236,110,blanc,0
246,193,185,noir,1
176,229,143,noir,1
146,97,84,blanc,1
86,115,91,noir,0
14,189,191,blanc,0
0,100,210,blanc,1
222,55,222,noir,1
155,45,159,noir,0
183,203,187,blanc,0
226,3,61,noir,0
150,195,45,blanc,0
184,142,99,noir,1
25,90,137,blanc,1
143,40,85,noir,0
245,231,250,blanc,0
100,87,243,blanc,1
31,250,189,noir,1
192,196,49,noir,1
86,250,45,blanc,0
240,146,225,blanc,0
136,208,188,blanc,0
190,248,157,blanc,0
155,181,52,noir,1
120,132,49,blanc,1
174,39,142,blanc,1
231,60,151,blanc,0
195,207,16,blanc,0
254,218,112,blanc,0
224,163,164,noir,1
207,176,113,blanc,0
79,146,79,blanc,0
48,198,79,blanc,0
191,194,107,noir,1
124,237,38,blanc,0
84,72,193,noir,0
229,67,216,noir,1
118,54,160,noir,0
78,140,156,noir,1
36,87,89,noir,0
198,36,160,noir,0
173,45,109,blanc,1
26,38,186,blanc,1
185,22,10,blanc,1
119,110,6,noir,0
13,236,186,noir,1
81,95,249,noir,0
168,130,162,blanc,0
84,219,70,blanc,0
16,237,196,blanc,0
5,108,134,blanc,1
76,95,40,blanc,1
113,181,146,blanc,0
141,142,143,blanc,0
238,186,184,noir,1
72,212,241,blanc,0
153,130,115,noir,1
23,192,141,blanc,0
80,98,6,noir,0
148,171,114,noir,1
255,159,182,blanc,0
182,102,13,blanc,1
153,197,227,noir,1
8,67,253,noir,0
71,12,203,blanc,1
192,137,154,noir,1
52,171,160,blanc,0
197,168,16,noir,1
143,8,113,noir,0
108,141,149,noir,1
160,77,56,blanc,1
148,47,187,noir,0
66,70,73,blanc,1
1,135,217,blanc,0
150,117,60,blanc,1
202,222,172,noir,1
247,164,210,noir,1
206,16,98,blanc,1
229,64,186,noir,1
131,238,252,noir,1
9,124,236,noir,0
189,84,127,noir,0
82,57,16,noir,0
221,157,20,blanc,0
0,225,84,blanc,0
55,237,205,noir,1
154,45,203,noir,0
94,47,152,noir,0
220,98,129,noir,0
42,247,12,noir,1
244,150,183,noir,1
191,125,75,noir,0
201,218,209,noir,1
106,137,150,noir,1
156,182,120,noir,1
112,89,188,blanc,1
48,33,23,blanc,1
151,214,207,blanc,0
98,192,249,blanc,0
110,160,223,noir,1
8,65,36,blanc,1
50,141,39,noir,1
163,81,62,blanc,1
222,114,3,blanc,0
120,208,76,blanc,0
47,177,239,noir,1
95,178,61,noir,1
199,163,228,noir,1
207,65,166,noir,0
109,125,76,noir,0
200,144,199,blanc,0
51,31,3,noir,0
239,133,188,noir,1
0,46,146,blanc,1
39,197,125,blanc,0
51,130,248,blanc,0
69,80,130,blanc,1
64,184,38,blanc,0
235,166,116,noir,1
62,68,9,noir,0
93,189,38,blanc,0
223,1,137,blanc,1
67,143,231,noir,1
181,247,131,blanc,0
214,163,83,blanc,0
157,214,220,blanc,0
77,59,50,noir,0
179,173,89,noir,1
195,41,128,blanc,1
215,227,156,noir,1
174,176,113,noir,1
229,115,101,blanc,0
15,134,180,noir,1
114,68,129,blanc,1
92,95,141,noir,0
43,179,208,blanc,0
74,237,239,blanc,0
55,26,244,blanc,1
177,149,21,noir,1
130,196,97,blanc,0
191,233,215,blanc,0
205,231,212,noir,1
27,36,109,noir,0
87,167,9,blanc,0
235,136,144,blanc,0
211,84,217,noir,1
207,155,29,noir,1
53,132,148,noir,1
27,242,218,noir,1
160,48,193,blanc,1
207,65,199,noir,1
1,23,142,blanc,1
230,94,208,blanc,0
60,15,215,blanc,1
240,126,147,blanc,0
181,76,240,blanc,1
163,119,71,blanc,1
38,113,160,blanc,1
241,40,198,blanc,0
244,86,61,blanc,0
24,39,11,noir,0
106,144,204,noir,1
225,152,109,noir,1
38,162,92,noir,1
27,33,53,blanc,1
24,80,214,blanc,1
16,87,165,blanc,1
94,141,22,blanc,0
133,71,105,noir,0
18,244,213,noir,1
81,79,103,blanc,1
118,158,24,blanc,0
47,146,156,blanc,0
71,212,174,blanc,0
165,254,127,noir,1
67,124,207,blanc,1
129,243,109,blanc,0
71,69,143,blanc,1
96,234,252,noir,1
135,100,246,noir,0
116,173,174,blanc,0
44,185,32,noir,1
97,239,153,blanc,0
181,240,158,blanc,0
230,178,37,blanc,0
60,60,13,noir,0
188,239,27,noir,1
190,95,140,blanc,1
183,130,6,blanc,0
222,252,46,blanc,0
106,159,172,noir,1
141,100,205,noir,0
142,252,148,noir,1
205,187,15,noir,1
29,29,88,blanc,1
232,249,178,blanc,0
192,233,8,blanc,0
52,94,72,noir,0
199,243,14,noir,1
194,248,85,noir,1
76,93,137,blanc,1
162,88,21,blanc,1
202,182,222,blanc,0
109,39,206,blanc,1
111,223,44,blanc,0
227,134,3,noir,1
8,222,213,blanc,0
218,86,5,blanc,1
197,138,197,noir,1
176,152,182,blanc,0
47,99,65,noir,0
86,67,158,blanc,1
60,159,81,noir,1
132,52,57,noir,0
121,31,114,blanc,1
5,81,197,blanc,1
184,167,158,noir,1
9,130,124,noir,0
39,203,49,noir,1
238,98,224,blanc,0
124,9,164,blanc,1
179,237,243,noir,1
199,254,219,blanc,0
195,153,183,noir,1
194,112,236,blanc,0
161,86,51,noir,0
149,20,230,noir,0
246,74,121,noir,1
29,67,76,blanc,1
176,169,33,noir,1
25,19,228,blanc,1
203,143,25,noir,1
250,178,217,noir,1
111,141,246,blanc,0
74,35,108,blanc,1
206,127,16,blanc,1
131,167,136,blanc,0
162,56,75,noir,0
228,150,21,blanc,0
200,210,61,blanc,0
213,13,137,noir,0
191,85,125,noir,0
90,23,227,blanc,1
198,211,239,blanc,0
187,120,180,noir,0
150,94,62,noir,0
13,138,238,noir,1
45,67,51,noir,0
160,152,95,noir,1
2,222,3,noir,1
119,207,9,noir,1
142,148,76,blanc,0
45,155,227,blanc,0
151,49,7,noir,0
17,72,39,noir,0
1,118,98,blanc,1
160,228,68,blanc,0
119,31,132,noir,0
68,255,92,noir,1
199,255,19,noir,1
115,195,26,noir,1
56,55,148,blanc,1
241,242,148,noir,1
219,202,12,blanc,0
243,75,155,noir,1
23,72,70,noir,0
177,125,90,noir,0
107,15,54,noir,0
251,195,102,blanc,0
212,215,231,noir,1
242,151,26,noir,1
136,103,168,blanc,1
172,161,97,noir,1
96,176,126,blanc,0
161,74,130,blanc,1
236,24,123,blanc,0
218,51,63,noir,0
126,171,26,noir,1
161,3,156,blanc,1
84,135,162,noir,1
255,84,182,noir,1
81,124,200,noir,0
197,225,112,noir,1
229,138,242,noir,1
31,127,235,blanc,1
35,186,79,noir,1
227,0,34,blanc,1
14,78,32,blanc,1
93,30,150,blanc,1
189,221,140,noir,1
98,69,247,blanc,1
135,29,105,noir,0
169,164,57,noir,1
236,106,118,noir,1
76,234,202,blanc,0
193,84,177,noir,0
255,219,131,noir,1
195,68,55,noir,0
219,79,86,blanc,1
50,14,96,blanc,1
190,139,97,blanc,0
27,135,138,blanc,0
185,114,175,noir,0
180,85,168,blanc,1
44,157,89,blanc,0
126,246,118,noir,1
12,125,72,noir,0
221,201,34,noir,1
255,79,156,blanc,0
174,147,164,blanc,0
14,214,228,noir,1
44,155,195,blanc,0
47,75,79,blanc,1
66,20,171,noir,0
163,36,119,blanc,1
124,106,237,noir,0
167,48,217,blanc,1
156,252,227,noir,1
105,121,207,blanc,1
182,210,193,noir,1
168,196,104,blanc,0
16,26,80,blanc,1
13,67,107,noir,0
254,178,52,blanc,0
25,53,239,blanc,1
172,56,23,blanc,1
49,29,21,blanc,1
176,173,212,blanc,0
197,85,119,blanc,1
110,170,211,blanc,0
171,200,132,blanc,0
105,107,227,noir,0
82,41,47,blanc,1
135,54,225,blanc,1
207,27,37,noir,0
218,3,196,blanc,0
218,248,247,noir,1
13,184,246,blanc,0
93,1,87,blanc,1
252,4,243,blanc,0
107,148,72,noir,1
122,124,46,noir,0
244,205,135,noir,1
225,131,85,blanc,0
0,56,198,noir,0
223,66,229,blanc,0
30,191,109,noir,1
172,106,71,blanc,1
101,247,225,blanc,0
78,199,80,blanc,0
193,195,225,blanc,0
222,18,153,noir,1
29,190,126,noir,1
95,163,220,noir,1
14,182,170,noir,1
146,39,69,noir,0
242,155,173,noir,1
90,66,228,noir,0
28,87,9,noir,0
106,48,4,noir,0
213,45,54,blanc,1
141,132,242,noir,1
193,8,76,blanc,1
28,120,123,noir,0
38,125,134,noir,0
72,156,98,blanc,0
197,107,139,blanc,1
107,149,62,noir,1
57,153,87,blanc,0
179,237,232,noir,1
201,184,33,noir,1
137,97,183,blanc,1
29,85,61,blanc,1
146,153,192,blanc,0
163,232,45,noir,1
217,234,207,noir,1
139,132,125,blanc,0
32,69,187,blanc,1
120,246,162,blanc,0
234,160,206,noir,1
153,107,31,blanc,1
103,218,175,blanc,0
74,142,21,blanc,0
12,106,225,blanc,1
73,66,164,noir,0
185,221,192,blanc,0
207,65,183,blanc,0
79,168,75,blanc,0
22,104,50,noir,0
31,6,210,blanc,1
193,215,57,noir,1
179,190,109,blanc,0
26,20,147,blanc,1
79,99,126,blanc,1
98,25,242,noir,0
24,93,12,blanc,1
77,106,150,blanc,1
248,177,17,noir,1
127,175,105,blanc,0
32,198,201,noir,1
14,39,58,blanc,1
68,154,74,blanc,0
162,250,87,noir,1
93,167,99,noir,1
70,180,137,blanc,0
35,105,28,noir,0
55,176,43,noir,1
154,211,233,noir,1
74,182,208,blanc,0
50,113,79,noir,0
118,163,33,blanc,0
28,68,129,blanc,1
85,149,202,blanc,0
62,75,87,noir,0
44,79,70,blanc,1
8,238,98,blanc,0
189,147,66,noir,1
51,179,83,blanc,0
217,249,182,blanc,0
122,157,27,blanc,0
172,121,167,blanc,1
102,154,133,noir,1
108,247,98,blanc,0
48,190,23,noir,1
185,112,14,blanc,1
18,205,159,blanc,0
25,138,97,blanc,0
48,113,139,noir,0
179,106,187,noir,0
70,230,188,noir,1
172,200,169,blanc,0
180,214,193,noir,1
77,254,163,noir,1
133,3,159,blanc,1
89,249,9,noir,1
133,223,136,noir,1
108,12,136,blanc,1
161,3,71,blanc,1
181,236,214,noir,1
161,237,241,noir,1
169,72,198,blanc,1
28,206,49,noir,1
2,84,93,noir,0
184,146,52,noir,1
187,81,235,noir,1
53,118,3,noir,0
206,252,71,noir,1
28,3,94,blanc,1
34,218,210,noir,1
210,49,255,noir,1
150,176,75,blanc,0
7,152,229,blanc,0
67,186,105,blanc,0
218,111,37,blanc,1
195,39,232,blanc,0
216,8,197,blanc,0
206,50,199,blanc,0
153,205,132,noir,1
162,84,147,blanc,1
33,111,254,blanc,1
239,54,233,blanc,0
178,120,146,blanc,1
155,85,172,blanc,1
154,134,83,blanc,0
234,254,232,blanc,0
97,67,33,noir,0
49,16,131,noir,0
142,201,3,noir,1
219,206,21,noir,1
213,238,42,blanc,0
245,118,61,noir,1
94,4,225,noir,0
121,234,177,noir,1
243,44,199,blanc,0
123,246,14,blanc,0
138,99,89,noir,0
146,51,122,noir,0
53,56,134,noir,0
176,99,214,blanc,1
142,76,41,noir,0
76,57,234,blanc,1
105,12,231,noir,0
124,35,140,blanc,1
82,24,247,noir,0
235,89,38,blanc,0
57,69,93,blanc,1
16,241,127,blanc,0
121,111,113,blanc,1
158,179,246,noir,1
79,195,238,blanc,0
15,235,129,blanc,0
21,56,196,noir,0
88,221,255,noir,1
57,89,228,blanc,1
74,206,201,noir,1
192,196,22,blanc,0
213,75,71,noir,0
110,65,129,noir,0
235,172,224,noir,1
226,232,31,noir,1
71,116,212,blanc,1
229,6,144,noir,1
250,160,7,noir,1
84,143,179,blanc,0
214,67,149,blanc,0
34,218,101,noir,1
225,204,37,blanc,0
119,145,147,blanc,0
121,44,126,noir,0
93,199,203,noir,1
240,122,73,blanc,0
154,98,120,blanc,1
252,121,144,noir,1
63,58,81,blanc,1
208,51,35,noir,0
36,193,45,blanc,0
138,75,109,blanc,1
159,56,149,blanc,1
211,65,100,blanc,1
132,90,201,noir,0
115,121,119,noir,0
151,191,126,blanc,0
200,253,29,blanc,0
228,210,46,noir,1
36,107,104,blanc,1
229,92,18,noir,1
26,65,240,noir,0
190,198,230,noir,1
221,89,209,blanc,0
157,214,13,blanc,0
157,140,105,blanc,0
225,165,10,blanc,0
204,170,212,blanc,0
147,59,185,noir,0
38,41,97,noir,0
126,50,137,noir,0
132,52,234,blanc,1
70,165,181,noir,1
210,21,92,blanc,1
0,190,147,blanc,0
49,70,154,noir,0
169,4,10,noir,0
102,24,106,noir,0
115,62,4,blanc,1
54,52,227,blanc,1
244,153,194,blanc,0
72,119,138,noir,0
59,110,12,blanc,1
64,254,156,noir,1
182,34,239,blanc,1
32,187,31,noir,1
17,160,16,blanc,0
104,37,210,noir,0
16,208,17,blanc,0
249,75,155,noir,1
129,25,9,blanc,1
44,114,8,noir,0
190,226,243,noir,1
8,93,103,noir,0
162,5,134,noir,0
66,179,100,noir,1
220,246,88,noir,1
61,148,112,blanc,0
204,8,6,blanc,1
197,145,107,blanc,0
139,8,178,noir,0
139,27,112,noir,0
107,22,93,noir,0
63,110,33,blanc,1
87,179,151,blanc,0
149,52,71,blanc,1
107,226,172,blanc,0
193,167,85,noir,1
119,176,179,noir,1
14,28,70,noir,0
162,249,217,noir,1
229,137,190,blanc,0
60,175,76,blanc,0
140,241,56,noir,1
185,180,46,noir,1
116,124,55,noir,0
21,164,78,blanc,0
118,142,188,noir,1
152,27,175,blanc,1
111,166,141,noir,1
17,227,193,noir,1
39,73,57,blanc,1
58,238,123,noir,1
16,183,112,noir,1
10,223,255,noir,1
46,23,158,blanc,1
75,132,82,blanc,1
138,190,106,blanc,0
205,201,251,blanc,0
131,77,230,noir,0
58,248,140,noir,1
221,19,123,noir,0
170,85,206,noir,0
69,11,214,noir,0
147,53,154,blanc,1
209,234,6,noir,1
162,184,9,noir,1
171,40,255,noir,0
215,255,252,blanc,0
87,147,160,blanc,0
43,27,42,noir,0
233,122,42,noir,1
27,233,97,noir,1
5,58,148,blanc,1
254,32,63,blanc,0
108,53,45,noir,0
194,133,59,noir,1
57,16,254,blanc,1
56,216,5,blanc,0
176,48,133,noir,0
177,170,128,noir,1
96,28,6,noir,0
119,75,66,noir,0
76,253,7,noir,1
148,233,43,blanc,0
29,6,149,blanc,1
119,91,215,blanc,1
128,47,5,noir,0
242,37,161,noir,1
