Rouge,Vert,Bleu,Couleur_Texte,Lisible
68,78,4,noir,0
222,180,35,blanc,0
122,157,27,blanc,0
141,100,205,noir,0
76,64,185,noir,0
246,173,182,blanc,0
29,100,157,noir,0
28,0,119,noir,0
181,252,137,blanc,0
205,10,230,blanc,0
175,214,14,blanc,0
221,157,20,blanc,0
221,89,209,blanc,0
222,114,3,blanc,0
199,25,122,noir,0
148,143,82,blanc,0
123,198,224,blanc,0
24,250,194,blanc,0
49,70,154,noir,0
129,7,250,noir,0
84,219,70,blanc,0
255,79,156,blanc,0
57,225,122,blanc,0
248,139,32,blanc,0
23,72,70,noir,0
110,65,129,noir,0
108,82,116,noir,0
223,9,113,noir,0
81,16,147,noir,0
94,226,39,blanc,0
78,69,26,noir,0
86,115,91,noir,0
10,68,40,noir,0
244,231,126,blanc,0
132,198,183,blanc,0
102,24,106,noir,0
62,68,9,noir,0
167,247,86,blanc,0
104,36,7,noir,0
195,68,55,noir,0
72,119,138,noir,0
233,34,181,blanc,0
163,229,79,blanc,0
74,124,198,noir,0
89,214,40,blanc,0
210,109,80,noir,0
146,51,122,noir,0
91,215,167,blanc,0
92,247,150,blanc,0
205,234,65,blanc,0
133,75,4,noir,0
90,66,228,noir,0
44,1,181,noir,0
253,140,240,blanc,0
115,201,33,blanc,0
220,98,129,noir,0
85,205,250,blanc,0
29,37,146,noir,0
215,249,92,blanc,0
195,207,16,blanc,0
219,202,12,blanc,0
143,222,87,blanc,0
119,170,80,blanc,0
83,121,217,noir,0
135,29,105,noir,0
125,2,238,noir,0
66,164,179,blanc,0
14,76,106,noir,0
253,149,239,blanc,0
161,58,66,noir,0
204,170,212,blanc,0
132,57,60,noir,0
60,175,76,blanc,0
247,190,191,blanc,0
73,64,124,noir,0
90,80,87,noir,0
84,143,179,blanc,0
55,167,59,blanc,0
133,193,80,blanc,0
76,234,202,blanc,0
25,236,21,blanc,0
65,177,94,blanc,0
12,125,72,noir,0
63,118,147,noir,0
2,84,93,noir,0
85,237,238,blanc,0
22,104,50,noir,0
88,112,68,noir,0
151,191,126,blanc,0
110,123,61,noir,0
6,178,169,blanc,0
229,115,101,blanc,0
126,50,137,noir,0
29,78,209,noir,0
12,153,81,blanc,0
250,194,181,blanc,0
155,79,68,noir,0
207,176,113,blanc,0
17,50,219,noir,0
249,196,175,blanc,0
115,121,119,noir,0
53,56,134,noir,0
12,244,167,blanc,0
128,164,39,blanc,0
108,41,31,noir,0
75,2,131,noir,0
154,201,172,blanc,0
87,179,151,blanc,0
128,47,5,noir,0
218,248,31,blanc,0
116,102,85,noir,0
39,212,208,blanc,0
82,156,201,blanc,0
24,39,11,noir,0
120,248,236,blanc,0
112,229,11,blanc,0
174,147,164,blanc,0
201,224,134,blanc,0
47,62,7,noir,0
223,66,229,blanc,0
114,232,35,blanc,0
246,215,199,blanc,0
80,82,44,noir,0
242,82,202,blanc,0
93,189,38,blanc,0
8,93,103,noir,0
187,120,180,noir,0
61,28,162,noir,0
2,70,220,noir,0
129,243,109,blanc,0
211,228,111,blanc,0
49,16,131,noir,0
204,189,134,blanc,0
170,73,225,noir,0
97,225,10,blanc,0
177,125,90,noir,0
75,102,43,noir,0
30,5,7,noir,0
184,205,65,blanc,0
77,188,135,blanc,0
229,124,253,blanc,0
207,74,142,noir,0
167,167,162,blanc,0
1,219,232,blanc,0
71,104,150,noir,0
155,118,11,noir,0
156,212,130,blanc,0
200,99,211,blanc,0
163,73,73,noir,0
44,61,165,noir,0
45,155,227,blanc,0
124,18,177,noir,0
80,167,201,blanc,0
60,103,32,noir,0
70,219,80,blanc,0
223,163,119,blanc,0
82,24,247,noir,0
140,76,88,noir,0
146,110,148,noir,0
162,56,75,noir,0
139,237,245,blanc,0
251,208,208,blanc,0
135,120,124,noir,0
170,158,139,blanc,0
155,35,88,noir,0
131,77,230,noir,0
194,82,50,noir,0
154,65,246,noir,0
147,189,144,blanc,0
173,173,250,blanc,0
195,140,205,blanc,0
79,68,165,noir,0
44,81,133,noir,0
87,147,160,blanc,0
108,129,125,noir,0
210,24,123,noir,0
226,143,60,blanc,0
79,168,75,blanc,0
28,136,98,blanc,0
190,139,97,blanc,0
18,205,159,blanc,0
25,140,19,blanc,0
96,233,91,blanc,0
205,232,128,blanc,0
204,211,65,blanc,0
216,187,158,blanc,0
81,95,249,noir,0
209,242,149,blanc,0
89,45,172,noir,0
17,160,16,blanc,0
13,233,167,blanc,0
62,75,87,noir,0
153,9,38,noir,0
218,51,63,noir,0
116,124,55,noir,0
249,201,4,blanc,0
206,32,249,blanc,0
187,78,182,noir,0
30,99,47,noir,0
251,195,102,blanc,0
36,254,126,blanc,0
188,123,251,blanc,0
165,165,83,blanc,0
38,125,134,noir,0
225,204,37,blanc,0
104,71,206,noir,0
188,101,239,blanc,0
119,48,43,noir,0
9,130,124,noir,0
247,126,123,blanc,0
200,253,29,blanc,0
30,109,243,noir,0
234,254,232,blanc,0
253,224,233,blanc,0
141,142,143,blanc,0
107,15,54,noir,0
244,252,79,blanc,0
172,123,166,noir,0
150,195,45,blanc,0
253,149,218,blanc,0
179,186,218,blanc,0
166,5,40,noir,0
232,240,78,blanc,0
139,8,178,noir,0
132,133,255,blanc,0
119,110,6,noir,0
105,141,190,blanc,0
74,177,22,blanc,0
214,240,128,blanc,0
179,205,23,blanc,0
59,186,170,blanc,0
236,73,186,blanc,0
248,159,222,blanc,0
229,76,209,blanc,0
177,220,158,blanc,0
182,74,200,noir,0
105,223,80,blanc,0
114,101,149,noir,0
229,137,190,blanc,0
94,204,154,blanc,0
185,232,109,blanc,0
206,163,211,blanc,0
12,231,31,blanc,0
44,114,8,noir,0
77,59,50,noir,0
18,244,8,blanc,0
202,59,49,noir,0
57,25,64,noir,0
7,152,229,blanc,0
165,177,163,blanc,0
48,6,8,noir,0
110,250,134,blanc,0
70,20,127,noir,0
130,181,196,blanc,0
159,154,129,blanc,0
228,150,2,blanc,0
113,41,71,noir,0
140,171,98,blanc,0
185,111,53,noir,0
105,107,227,noir,0
203,22,240,blanc,0
155,45,159,noir,0
31,185,105,blanc,0
187,187,209,blanc,0
143,40,85,noir,0
141,220,67,blanc,0
152,50,157,noir,0
223,167,151,blanc,0
199,53,182,noir,0
126,24,183,noir,0
212,149,93,blanc,0
190,248,157,blanc,0
48,201,216,blanc,0
48,198,79,blanc,0
120,31,55,noir,0
74,148,29,blanc,0
122,124,46,noir,0
53,98,19,noir,0
182,66,168,noir,0
88,115,174,noir,0
115,247,122,blanc,0
101,111,160,noir,0
144,181,103,blanc,0
149,20,230,noir,0
200,144,199,blanc,0
22,88,103,noir,0
187,89,244,blanc,0
201,185,143,blanc,0
25,198,158,blanc,0
208,253,75,blanc,0
245,231,250,blanc,0
18,43,51,noir,0
251,8,21,blanc,0
197,145,107,blanc,0
74,1,100,noir,0
195,251,111,blanc,0
250,247,63,blanc,0
109,125,76,noir,0
151,49,7,noir,0
110,119,110,noir,0
56,135,49,noir,0
247,102,159,blanc,0
51,130,248,blanc,0
72,142,63,blanc,0
63,73,43,noir,0
60,169,203,blanc,0
63,215,159,blanc,0
242,149,187,blanc,0
180,7,143,noir,0
205,167,77,blanc,0
149,62,114,noir,0
27,135,138,blanc,0
177,125,119,noir,0
33,65,3,noir,0
44,155,195,blanc,0
47,70,99,noir,0
92,95,141,noir,0
107,22,93,noir,0
218,112,172,blanc,0
183,180,51,blanc,0
26,44,234,noir,0
226,218,173,blanc,0
212,169,145,blanc,0
130,196,97,blanc,0
67,128,82,noir,0
25,84,238,noir,0
228,150,21,blanc,0
82,123,119,noir,0
141,1,95,noir,0
15,232,172,blanc,0
156,179,124,blanc,0
138,38,152,noir,0
207,65,166,noir,0
14,122,101,noir,0
217,176,210,blanc,0
231,60,151,blanc,0
9,153,255,blanc,0
202,140,25,blanc,0
59,175,10,blanc,0
254,128,155,blanc,0
131,167,136,blanc,0
208,240,137,blanc,0
163,207,58,blanc,0
252,4,243,blanc,0
123,234,178,blanc,0
48,132,237,blanc,0
6,19,86,noir,0
54,167,229,blanc,0
49,54,218,noir,0
38,141,83,blanc,0
60,112,111,noir,0
21,164,78,blanc,0
213,87,111,noir,0
160,12,238,noir,0
41,186,91,blanc,0
189,63,214,noir,0
214,163,83,blanc,0
144,99,32,noir,0
28,120,123,noir,0
78,250,69,blanc,0
244,153,194,blanc,0
218,215,108,blanc,0
101,2,122,noir,0
235,22,131,blanc,0
81,56,206,noir,0
210,61,212,blanc,0
197,144,119,blanc,0
34,214,200,blanc,0
208,140,235,blanc,0
35,243,111,blanc,0
111,235,202,blanc,0
36,193,45,blanc,0
161,103,92,noir,0
39,251,218,blanc,0
56,225,134,blanc,0
67,242,196,blanc,0
0,190,147,blanc,0
254,99,191,blanc,0
74,142,21,blanc,0
222,200,37,blanc,0
205,152,6,blanc,0
208,51,35,noir,0
61,49,219,noir,0
216,8,197,blanc,0
165,49,6,noir,0
218,249,212,blanc,0
240,122,73,blanc,0
106,48,4,noir,0
110,223,18,blanc,0
85,45,178,noir,0
63,21,16,noir,0
179,64,221,noir,0
143,112,172,noir,0
54,144,159,blanc,0
11,248,228,blanc,0
133,71,105,noir,0
230,94,208,blanc,0
107,152,248,blanc,0
248,44,147,blanc,0
207,27,37,noir,0
126,210,57,blanc,0
106,234,191,blanc,0
67,249,188,blanc,0
145,6,222,noir,0
150,176,75,blanc,0
28,190,157,blanc,0
220,46,29,noir,0
128,129,184,noir,0
222,244,182,blanc,0
59,208,96,blanc,0
42,255,143,blanc,0
135,237,149,blanc,0
170,85,206,noir,0
181,247,131,blanc,0
24,72,246,noir,0
125,47,246,noir,0
24,0,145,noir,0
215,77,157,blanc,0
58,90,40,noir,0
10,23,18,noir,0
99,12,6,noir,0
199,254,219,blanc,0
31,235,6,blanc,0
174,248,240,blanc,0
175,140,137,blanc,0
73,120,226,noir,0
13,6,79,noir,0
102,161,224,blanc,0
103,94,206,noir,0
214,67,149,blanc,0
71,238,36,blanc,0
117,76,227,noir,0
210,81,140,noir,0
81,45,37,noir,0
54,182,110,blanc,0
121,44,126,noir,0
105,17,210,noir,0
103,250,80,blanc,0
198,83,3,noir,0
70,114,47,noir,0
95,78,239,noir,0
181,43,114,noir,0
163,35,173,noir,0
4,129,176,noir,0
219,91,101,noir,0
186,6,116,noir,0
77,161,95,blanc,0
143,170,30,blanc,0
114,34,154,noir,0
110,224,233,blanc,0
52,171,160,blanc,0
160,208,178,blanc,0
193,11,142,noir,0
163,185,97,blanc,0
83,146,94,blanc,0
113,181,146,blanc,0
244,125,102,blanc,0
85,149,202,blanc,0
83,32,29,noir,0
197,66,35,noir,0
179,146,145,blanc,0
8,147,100,blanc,0
166,161,210,blanc,0
41,74,73,noir,0
179,234,45,blanc,0
159,80,82,noir,0
47,142,145,blanc,0
135,100,246,noir,0
13,184,246,blanc,0
119,31,132,noir,0
129,139,183,blanc,0
43,107,17,noir,0
116,173,174,blanc,0
126,121,133,noir,0
253,240,205,blanc,0
96,28,6,noir,0
66,82,101,noir,0
17,209,66,blanc,0
91,7,117,noir,0
102,228,96,blanc,0
16,208,17,blanc,0
51,31,3,noir,0
15,235,129,blanc,0
53,118,3,noir,0
53,114,60,noir,0
191,233,215,blanc,0
160,228,68,blanc,0
229,238,153,blanc,0
11,164,185,blanc,0
179,17,235,noir,0
210,144,119,blanc,0
238,98,224,blanc,0
181,135,180,blanc,0
68,154,74,blanc,0
115,164,222,blanc,0
130,231,217,blanc,0
161,84,2,noir,0
246,155,112,blanc,0
95,226,134,blanc,0
182,191,154,blanc,0
13,221,81,blanc,0
139,132,125,blanc,0
66,88,187,noir,0
105,70,203,noir,0
150,15,160,noir,0
48,98,125,noir,0
113,161,173,blanc,0
235,89,38,blanc,0
56,136,234,blanc,0
156,127,10,noir,0
214,6,97,noir,0
97,67,33,noir,0
237,19,62,blanc,0
16,237,196,blanc,0
209,57,251,blanc,0
58,235,136,blanc,0
94,30,138,noir,0
10,77,212,noir,0
183,187,46,blanc,0
79,180,34,blanc,0
27,36,109,noir,0
139,27,112,noir,0
65,202,108,blanc,0
27,48,91,noir,0
254,178,52,blanc,0
47,105,145,noir,0
163,93,97,noir,0
26,90,64,noir,0
118,158,24,blanc,0
235,136,144,blanc,0
180,80,206,noir,0
179,106,187,noir,0
78,199,80,blanc,0
113,237,123,blanc,0
146,92,5,noir,0
120,238,22,blanc,0
176,173,212,blanc,0
98,192,249,blanc,0
70,231,120,blanc,0
127,175,105,blanc,0
185,114,175,noir,0
227,249,144,blanc,0
12,181,86,blanc,0
207,65,183,blanc,0
202,143,53,blanc,0
83,132,169,blanc,0
60,97,41,noir,0
225,165,10,blanc,0
65,67,19,noir,0
68,174,42,blanc,0
52,159,148,blanc,0
137,211,156,blanc,0
37,133,17,noir,0
91,1,101,noir,0
71,0,37,noir,0
69,240,229,blanc,0
228,128,56,blanc,0
156,69,240,noir,0
76,187,111,blanc,0
109,12,113,noir,0
125,95,160,noir,0
153,67,130,noir,0
150,219,12,blanc,0
167,117,87,noir,0
145,238,139,blanc,0
140,38,206,noir,0
134,244,61,blanc,0
99,27,103,noir,0
188,60,150,noir,0
78,21,170,noir,0
163,115,122,noir,0
60,60,13,noir,0
254,94,145,blanc,0
161,221,46,blanc,0
81,124,200,noir,0
210,219,33,blanc,0
187,164,147,blanc,0
193,84,177,noir,0
122,100,77,noir,0
108,140,138,blanc,0
244,85,203,blanc,0
118,92,129,noir,0
216,103,79,noir,0
33,148,235,blanc,0
171,200,132,blanc,0
83,204,4,blanc,0
80,98,6,noir,0
255,75,107,blanc,0
66,20,171,noir,0
158,246,56,blanc,0
83,56,64,noir,0
118,73,228,noir,0
24,186,133,blanc,0
57,153,87,blanc,0
118,163,33,blanc,0
89,213,231,blanc,0
213,238,42,blanc,0
112,42,87,noir,0
144,17,57,noir,0
244,86,61,blanc,0
167,60,234,noir,0
7,236,204,blanc,0
223,29,244,blanc,0
49,222,29,blanc,0
0,56,198,noir,0
26,191,76,blanc,0
73,14,16,noir,0
194,76,153,noir,0
16,167,206,blanc,0
184,137,234,blanc,0
230,178,37,blanc,0
142,76,41,noir,0
205,80,42,noir,0
53,154,70,blanc,0
160,31,35,noir,0
36,33,238,noir,0
195,39,232,blanc,0
118,54,160,noir,0
245,87,96,blanc,0
45,67,51,noir,0
123,154,254,blanc,0
105,240,188,blanc,0
17,100,218,noir,0
77,137,27,blanc,0
116,50,91,noir,0
